ra             0x12345678	0x12345678
sp             0xabcdef00	0xabcdef00
gp             0xcafebaba	0xcafebaba
tp             0xdeadbeef	0xdeadbeef
t0             0x5050505	84215045
t1             0xa0a0a0a0	-1600085856
t2             0xff00ff	16711935
s1             0xfeedabed	-17978387
a0             0x0	0
a1             0x0	0
a2             0x0	0
a3             0x0	0
a4             0x0	0
a5             0x0	0
a6             0x0	0
a7             0x0	0
s2             0x0	0
s3             0x0	0
s4             0x0	0
s5             0x0	0
s6             0x0	0
s7             0x0	0
s8             0x0	0
s9             0x0	0
s10            0x0	0
s11            0x0	0
t5             0x0	0
t6             0x0	0
